,Incidence,Mort.,US Gov't YLL (thousands),WHO DALY (thousands),Medicare Spend$ (millions),National spend $ (billions),Lost prod. (billions),NCI Funding (millions),AYLL,YLLPI
Bladder,70530,14680,154.4,128.7,1023,3.466,1.977,22.6,10.52,2.19
"Brain, ONS",22020,13140,290.8,,293,3.715,5.851,193.1,22.13,13.21
Breast,209060,40230,761.3,612.5,1375,13.886,10.879,631.2,18.92,3.64
Cervix,12200,4210,104.7,114.1,73,1.425,1.808,76.5,24.87,8.58
Colon/rectum,142570,51370,764.6,542.1,3101,12.155,12.802,270.4,14.88,5.36
Esophogus,16640,14500,214.2,122,386,1.071,---,30.5,14.77,12.87
Hogkin lymph.,8490,1320,29.8,288.7,1350,10.168,0.829,14.6,22.58,3.51
Kidney,58240,13040,195.7,---,685,3.058,3.633,90,15.01,3.36
Leukemia,43050,21840,355.2,210.5,695,4.507,5.88,295.8,16.26,8.25
Liver,24120,18910,292.2,137.8,278,---,4.638,72.6,15.45,12.11
Lung,222520,157300,2369,1247.6,4238,10.315,38.953,281.9,15.06,10.65
Myeloma,20180,10650,148.1,**,---,---,---,48.5,13.91,7.34
NH Lymphoma,65540,20210,292.4,**,*,*,5.755,122.4,14.47,4.46
"Oral,pharnyx",36540,7880,138,85.4,---,---,---,13.9,17.51,3.78
Ovary,21880,13850,248.8,145,507,4.379,2.945,112.3,17.96,11.37
Pancreas,43140,36800,498.4,237.7,771,1.884,7.058,97.1,13.54,11.55
Prostate,217730,32050,267.4,225,2294,9.862,3.538,300.5,8.34,1.23
Melanoma (skin),68130,8700,150.7,120.6,181,1.906,3.298,102.3,17.32,2.21
Stomach,21000,10570,176,106.9,624,1.55,3.454,14.5,16.65,8.38
Testes,8480,350,11.8,---,---,---,0.472,6.3,33.71,1.39
Uterus,43470,7950,122.8,75.5,340,2.33,1.101,14.2,15.45,2.82